{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
(array([0.02972841, 0.02960925], dtype=float32), array([ 19.562923, 199.31097 ], dtype=float32))
(array([0.02977384, 0.02961133], dtype=float32), array([ 19.747936, 199.3163  ], dtype=float32))
(array([0.02978811, 0.02961049], dtype=float32), array([ 19.833357, 199.3185  ], dtype=float32))
| Reward: -82.9345 | Episode: 0 | Qmax: -0.0455
| Reward: -126.1789 | Episode: 1 | Qmax: -0.2870
| Reward: -130.4442 | Episode: 2 | Qmax: -0.1784
| Reward: -11.9184 | Episode: 3 | Qmax: 0.3253
| Reward: -14.9333 | Episode: 4 | Qmax: 0.9959
| Reward: -32.2689 | Episode: 5 | Qmax: 1.7520
| Reward: -114.5124 | Episode: 6 | Qmax: 2.6306
| Reward: -101.9421 | Episode: 7 | Qmax: 3.4254
| Reward: -23.4299 | Episode: 8 | Qmax: 4.0939
| Reward: -14.9652 | Episode: 9 | Qmax: 4.8104
| Reward: -233.6567 | Episode: 10 | Qmax: 5.1870
| Reward: -208.6248 | Episode: 11 | Qmax: 5.7289
| Reward: -37.6794 | Episode: 12 | Qmax: 6.4317
| Reward: -55.5453 | Episode: 13 | Qmax: 7.4367
| Reward: -139.1626 | Episode: 14 | Qmax: 7.4107
| Reward: -41.1209 | Episode: 15 | Qmax: 7.2736
| Reward: -39.1337 | Episode: 16 | Qmax: 6.3601
| Reward: -101.3028 | Episode: 17 | Qmax: 5.9768
| Reward: -25.5950 | Episode: 18 | Qmax: 6.2245
| Reward: -2465855.3643 | Episode: 19 | Qmax: 10.3319
| Reward: -2645405.9524 | Episode: 20 | Qmax: -0.9963
| Reward: -146.9019 | Episode: 21 | Qmax: 3.7931
| Reward: -25545.5978 | Episode: 22 | Qmax: 9.5141
